Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,pmRA,pmDE,Plx,SimbadName,_RA_icrs,_DE_icrs,Source,RV,Gmag,BP-RP,Proba
NGC_1027,40.57303824153,61.66846152133,135.68700666132,1.57309798215,-1.66,2.272,0.89,Gaia DR2  465681902093899008,40.57305330383,61.66845173728,465681902093899008,,15.1938,1.1615,1.0
NGC_1027,40.55678412875,61.59845094739,135.70896406413,1.50617012587,-1.666,2.109,0.8716,Gaia DR2  465679359473034752,40.55679921121,61.59844186885,465679359473034752,,15.4313,1.2193,1.0
NGC_1027,40.36126711973,61.88498856643,135.50636551127,1.72901271762,-1.766,2.248,0.8297,Gaia DR2  465699215097697664,40.36128325483,61.88497888785,465699215097697664,,16.6894,1.4748,1.0
NGC_1027,40.46232068517,61.6099631604,135.6632824673,1.4980934806,-1.936,1.979,0.8034,Gaia DR2  465680115387279872,40.46233821676,61.60995463831,465680115387279872,,15.468,1.213,1.0
NGC_1027,40.28541639434,61.87191856224,135.47912191279,1.70241451686,-1.99,2.351,0.9682,Gaia DR2  465699833573409920,40.2854345679,61.87190844008,465699833573409920,,16.9492,1.5094,0.8
NGC_1027,40.50929787265,61.60387627365,135.6861492278,1.50177154177,-1.893,2.153,0.877,Gaia DR2  465680149747018112,40.50931500922,61.60386700253,465680149747018112,,13.9937,0.9331,1.0
NGC_1027,40.41278788406,61.61574490161,135.63943540245,1.49365507154,-1.951,2.218,0.8292,Gaia DR2  465680355905448960,40.41280555819,61.6157353539,465680355905448960,,16.6724,1.6448,0.9
NGC_1027,40.65188031009,61.66364721354,135.72306811216,1.58423054235,-1.653,2.139,0.9452,Gaia DR2  465681421057265536,40.65189530551,61.66363800346,465681421057265536,,15.3057,1.192,0.9
NGC_1027,40.45930273637,61.77688879564,135.59309515862,1.6495651818,-1.822,2.541,1.023,Gaia DR2  465695435526822656,40.45931932031,61.77687785453,465695435526822656,,17.2705,1.5995,0.7
NGC_1027,40.18675009174,61.63812867901,135.53225696886,1.46999947552,-1.724,2.342,0.9378,Gaia DR2  465687056054438528,40.18676571312,61.63811859517,465687056054438528,,16.1807,1.334,1.0
NGC_1027,40.40268029276,61.38274177902,135.73100284869,1.27933279541,-1.955,1.884,0.7651,Gaia DR2  465668776673793920,40.40269786525,61.3827336682,465668776673793920,,17.1597,1.7109,0.6
NGC_1027,40.42743594386,61.78111614363,135.57761720234,1.64720395808,-1.602,2.198,0.7691,Gaia DR2  465695474190193408,40.42745053289,61.78110668206,465695474190193408,,16.8397,1.5,0.9
