RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
41.37338286657,61.59795443486,465721931179825024,0.98,1.1358,2.723,-1.801,2.042,95,,1.284,1.09,20.699965,21.297585,19.641605,1.655979,,42.99924779705,41.37339969462,61.59794535766,1.032749,0.5527194877001694,1,1.6559800000000031,0.0,0.7367557883262634,0.31867682933807373,0.5531601905822754,0.7200000286102295,0.7367557883262634,0.7367557883262634,0.7367557883262634,0.24919982254505157
41.30813876691,61.59764297993,465722064327681920,0.8538,0.0251,2.615,-1.713,1.976,31,1.478,,1.013,15.228408,15.73772,14.549329,1.188391,,43.01163732086,41.30815477103,61.59763419973,0.886672,0.5011307951560473,1,1.1883909999999993,1.457219205092807e-20,0.7779196500778198,0.24993526935577393,0.2228027582168579,0.0,0.10832042247056961,0.013045713305473328,0.3825550675392151,0.923639714717865
41.05255995875,61.51367181607,465722652742090752,0.8717,0.0197,2.706,-1.863,1.962,31,1.503,,1.002,14.679751,15.124392,14.056518,1.067874,,42.98485434825,41.05257732108,61.51366309674,0.904669,0.34339146809298604,1,1.0678739999999998,0.0,0.8887692093849182,0.3342742621898651,0.42588719725608826,0.8799999952316284,0.3819064497947693,0.1103922426700592,0.8043454885482788,0.7404358983039856
41.02974186309,61.56742513372,465723614814967936,0.8627,0.0337,2.684,-1.741,2.043,31,1.466,,1.003,15.851207,16.39761,15.143051,1.254559,,43.03833616569,41.02975811279,61.56741605368,0.895366,0.2911763784754947,1,1.2545590000000004,1.7209533033844088e-20,0.9187110066413879,0.2631572484970093,0.26093149185180664,0.0,0.1712438315153122,0.03132210299372673,0.45179158449172974,0.9012345671653748
41.06266297066,61.63060333086,465724439440449536,0.8697,0.8055,4.366,-2.943,3.226,95,,1.4653,1.16,20.187836,,,,,43.08951275698,41.06269049552,61.63058899434,0.89749,0.3064553469755096,1,0.0,4.203895392974451e-45,0.9103602766990662,0.16566932201385498,0.8791407346725464,0.8999999761581421,0.9103602766990662,0.9103602766990662,0.9103602766990662,0.03429355099797249
41.17050066946,61.61515714734,465724851768898432,0.9792,0.5669,1.661,-1.571,0.542,95,,1.4567,1.053,20.135384,20.57311,19.16416,1.408951,,43.0544007031,41.17051535397,61.61515474018,1.006235,0.39100629503840867,1,1.4089500000000008,0.0,0.8582276105880737,0.34139299392700195,0.6890935897827148,0.8399999737739563,0.8582276105880737,0.8582276105880737,0.8582276105880737,0.19707362353801727
41.12365877773,61.67294718567,465726054347393792,0.907,0.1398,2.546,-1.525,2.039,95,,1.3219,1.029,18.05772,,,,,43.11623111534,41.12367306057,61.67293812236,0.94456,0.36607808158902394,1,0.0,4.203895392974451e-45,0.8745785355567932,0.10714666545391083,0.8612486124038696,0.8600000143051147,0.8745785355567932,0.8745785355567932,0.8745785355567932,0.01524157915264368
41.14665116585,61.7321351471,465726672822595840,0.9067,0.0335,2.615,-1.647,2.031,31,1.462,,0.992,15.604994,16.161406,14.888306,1.2731,,43.16572501161,41.14666661823,61.73212612004,0.939505,0.4188146768881258,1,1.2730999999999995,0.0,0.8391165137290955,0.2001238465309143,0.1168781965970993,0.0,0.005393712781369686,4.80780101952405e-07,0.13637220859527588,0.9888736605644226
41.41654405833,61.61716159491,465727841053812608,0.9139,0.1529,2.773,-1.889,2.03,31,1.361,,0.963,18.485544,19.455502,17.484755,1.970747,,43.0084089545,41.41656171559,61.61715257285,0.935438,0.5859280233055745,1,1.9707469999999994,8.299447472381871e-06,0.7094171047210693,0.04900426045060158,0.7049403786659241,0.699999988079071,0.7094171047210693,0.7094171047210693,0.7094171047210693,0.011736015789210796
41.36808297573,61.64630531651,465728115940377600,1.0147,0.0125,0.891,0.126,0.882,31,1.544,,0.978,13.203697,13.550911,12.684674,0.866237,,43.0444131355,41.36808179802,61.64630139434,1.048428,0.5495985549351162,1,0.8662369999999999,2.802596928649634e-45,0.7392947673797607,0.15295056998729706,0.7061668038368225,0.7200000286102295,0.7392947673797607,0.7392947673797607,0.7392947673797607,0.04481024295091629
