RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
121.85999105922,-11.09921347763,3037831197394946688,0.0565,0.0392,0.7228,0.095,2.286,-2.231,0.091,-0.495,0.058,31,1.489,,1.051,17.369919,17.862652,16.752253,1.110399,,-30.54080075792,121.86000116489,-11.09921127585,0.752578
121.85622721771,-11.09193697357,3037831266114422912,0.0143,0.0101,0.8023,0.0239,2.947,-2.818,0.022,0.862,0.015,31,1.583,,1.01,14.557641,14.82696,14.130368,0.696591,,-30.53464409845,121.85623997875,-11.09194080641,0.844919
121.90248886005,-11.09554452622,3037831330534573184,0.2267,0.1575,0.7325,0.3937,1.805,-1.668,0.373,-0.691,0.244,95,,1.5667,1.049,19.600037,19.825472,18.796898,1.028574,,-30.52707063438,121.9024964133,-11.09554145382,0.751928
121.78259551444,-11.10755057594,3037832640503996672,0.0285,0.0205,0.7225,0.0527,2.95,-2.937,0.049,-0.271,0.03,31,1.516,,0.982,16.147583,16.557758,15.56799,0.989768,,-30.56738396445,121.78260881776,-11.10754937164,0.755791
121.71630042028,-11.10209530055,3037833220320176384,0.2299,0.1709,0.851,0.3821,2.742,-2.576,0.366,0.942,0.249,31,1.449,,0.981,19.695677,20.186163,18.967276,1.218887,,-30.5779074762,121.7163120855,-11.1020994874,0.863074
121.80868388528,-11.06197264855,3037834495929841280,0.019,0.0134,0.821,0.0316,2.958,-2.925,0.028,-0.44,0.019,31,1.54,,0.974,15.38996,15.74795,14.867977,0.879972,,-30.51694603226,121.80869713346,-11.06197069432,0.863621
121.89070634165,-11.03426484877,3037834805167453824,0.0458,0.034,0.7078,0.0776,4.016,-3.986,0.069,-0.49,0.05,31,1.491,,1.037,17.109165,17.584208,16.481663,1.102545,,-30.47046274805,121.89072438905,-11.0342626724,0.7383069999999999
121.81172797997,-11.01516510207,3037835801599885696,0.0248,0.0168,0.7405,0.0419,4.026,-4.025,0.037,0.102,0.024,31,1.526,,1.019,15.748329,16.134392,15.188257,0.946135,,-30.47081831648,121.81174620513,-11.01516555452,0.783197
121.49192220473,-11.23658616713,3037836420077901696,0.0562,0.0389,0.8482,0.0919,2.134,-2.035,0.091,0.645,0.057,95,,1.4637,0.983,17.627014,18.163319,16.968716,1.194603,,-30.76173784159,121.49193142397,-11.23658903531,0.8729709999999999
121.53786988549,-11.17907392216,3037837072910470656,0.4195,0.2732,0.7472,0.795,3.834,-3.83,0.682,0.18,0.4,95,,1.2942,0.991,20.203726,20.99261,19.287476,1.705135,,-30.69503126158,121.53788723561,-11.17907472393,0.7195349999999999
121.56603001798,-11.16369572501,3037838516016769664,0.1573,0.1125,0.6975,0.2717,2.767,-2.624,0.248,0.877,0.165,31,1.421,,1.016,19.188265,19.819868,18.454422,1.365446,,-30.67342378402,121.56604190709,-11.16369962154,0.71568
121.55427716914,-11.15323909658,3037838580438371328,0.1538,0.1074,0.8404,0.2617,2.891,-2.791,0.25,0.753,0.159,31,1.467,,0.999,19.106018,19.591982,18.51637,1.075611,,-30.66606911935,121.55428981346,-11.15324244332,0.8600880000000001
122.02137787761,-11.05701352073,3037854493298317696,0.2529,0.182,0.7494,0.4435,2.101,-1.817,0.42,1.056,0.269,31,1.448,,1.019,19.660496,20.188519,18.984318,1.204201,,-30.4611965178,122.02138610648,-11.05701821218,0.7618779999999999
122.14010567532,-10.93524276656,3037857065978828928,0.3694,0.2951,0.8046,0.5733,2.959,-2.933,0.517,0.392,0.464,95,,1.3427,1.026,20.078522,20.615004,19.300318,1.314686,,-30.31459038322,122.14011895197,-10.93524451094,0.7878459999999999
123.76164443531,-14.51940162651,5721822987273564032,0.4717,0.5038,0.7773,0.7829,2.124,-2.041,0.874,0.587,1.123,95,,1.4146,1.047,20.226347,20.972843,19.35893,1.613913,,-33.37750977967,123.76165380428,-14.51940423728,0.7745879999999999
