GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb
5727493164443537792,122.66139734028,-12.78318816339,1.1779,-2.753,-0.271,19.633156,20.658358,18.581478,NGC_2539,0.07
5727493168742708352,122.65579673835,-12.78934154993,0.7471,-2.315,-0.625,14.661699,14.946799,14.21875,NGC_2539,1.0
5727493237462197632,122.63558123789,-12.79791808543,0.7362,-2.134,-0.288,14.676825,14.993279,14.201497,NGC_2539,1.0
5727493237462198912,122.63468350022,-12.79986086348,0.7388,-2.174,-0.415,16.559109,17.05488,15.924842,NGC_2539,1.0
5727493267520584832,122.64412502877,-12.78685362294,0.7187,-2.182,-0.533,14.191111,14.452887,13.7765665,NGC_2539,1.0
5727493340541406336,122.63217278678,-12.77436586066,0.7376,-2.339,-0.611,13.366067,13.54775,13.062191,NGC_2539,1.0
5727493340541407104,122.63453294253,-12.77996064284,0.7354,-2.372,-0.597,13.055192,13.210648,12.79286,NGC_2539,1.0
5727493374901139712,122.65104977478,-12.78757703651,0.729,-2.257,-0.718,15.842573,16.233849,15.278486,NGC_2539,1.0
5727495333406159104,122.77221132681,-12.71195205929,0.7555,-2.227,-0.621,13.028519,13.184821,12.761529,NGC_2539,1.0
5727493409260872576,122.65645492385,-12.77285508382,0.7431,-2.476,-0.331,17.793242,18.529049,16.942657,NGC_2539,0.92
5727493443620614656,122.64397560259,-12.76931382814,0.7574,-2.286,-0.649,14.019979,14.28628,13.5979185,NGC_2539,1.0
5727493443620917632,122.63468374968,-12.76861278054,0.779,-2.179,-0.777,10.865845,11.34937,10.221707,NGC_2539,1.0
5727493477976765056,122.65849868576,-12.75793993467,0.6527,-2.149,-0.54,19.242908,19.228523,17.999445,NGC_2539,0.05
5727493477980342016,122.65994483132,-12.75868692681,0.7698,-2.408,-0.431,11.322532,11.420462,11.135782,NGC_2539,1.0
5727493512340400384,122.55854164259,-12.81455076386,0.7302,-1.958,-0.403,11.901287,12.032527,11.661114,NGC_2539,1.0
5727493542399145600,122.58262201397,-12.80836961496,0.7005,-2.522,-0.619,17.039646,17.317904,16.192955,NGC_2539,0.98
5727493546699870720,122.58320509625,-12.8081078208,0.7682,-2.057,-0.502,14.889043,15.170586,14.399731,NGC_2539,1.0
5727493546699873280,122.57233215855,-12.80012141686,0.6785,-2.135,-0.678,14.96,15.269735,14.480272,NGC_2539,1.0
5727493546700138240,122.56652501292,-12.80832570885,0.7707,-2.134,-0.497,15.04676,15.432613,14.489431,NGC_2539,1.0
5727493611118646144,122.566600647,-12.79846970995,0.2851,-2.711,-0.516,18.99178,20.061445,18.032015,NGC_2539,0.06
5727493718498559872,122.57800053992,-12.79352535449,0.7583,-2.241,-0.594,13.309762,13.488889,13.00381,NGC_2539,1.0
5727493752858288768,122.59187662497,-12.78155144197,0.7022,-2.242,-0.498,16.88496,17.418503,16.215376,NGC_2539,1.0
5726808276073779840,123.82472022148,-12.59071586038,0.8442,-2.149,-0.844,16.371138,16.86356,15.644822,NGC_2539,0.25
5727495402125634816,122.76559712217,-12.69800059092,0.7208,-2.221,-0.504,14.43883,14.710496,14.012177,NGC_2539,1.0
5727495505204872448,122.70550960755,-12.71298883324,0.7695,-2.219,-0.529,12.963578,13.118019,12.7105255,NGC_2539,1.0
5727495569623956864,122.73989489559,-12.71144174072,0.7539,-2.364,-0.57,14.664478,14.9557295,14.213635,NGC_2539,1.0
5727497429350165888,122.89960308295,-12.73441630789,0.7832,-2.345,-0.525,16.225687,16.671482,15.62438,NGC_2539,1.0
5727497498069628160,122.94484836289,-12.72057352605,0.7726,-2.347,-0.424,12.808859,12.939123,12.583601,NGC_2539,1.0
5727497772947539712,122.91413263372,-12.69729043409,0.7707,-2.398,-0.612,13.269412,13.436478,12.986259,NGC_2539,1.0
5727498082185200768,122.86449955694,-12.71157087443,0.7372,-2.404,-0.614,14.065112,14.361901,13.608091,NGC_2539,1.0
5727498215330782336,122.80944051149,-12.70935129765,0.7087,-2.625,-0.358,16.663174,17.222445,15.746919,NGC_2539,0.14
5727498253983909376,122.8017985718,-12.71327979074,0.7829,-2.167,-0.58,15.428128,15.79831,14.880151,NGC_2539,1.0
5727498288343644672,122.80814089348,-12.70688058432,0.7527,-2.28,-0.606,14.847716,15.154051,14.377377,NGC_2539,1.0
5727498455841979520,122.87207173815,-12.70908874678,0.8771,-2.488,-0.743,18.330896,19.3022,17.482136,NGC_2539,0.66
5727498558920282496,122.86526690608,-12.68523373587,0.7861,-2.396,-0.516,10.726794,11.214242,10.079898,NGC_2539,1.0
5727498631940998016,122.90262826869,-12.67374967704,0.7797,-2.307,-0.607,11.694341,11.809598,11.476621,NGC_2539,1.0
5727498975538384896,122.87243169999,-12.6454635742,0.7844,-2.027,-0.747,15.242539,15.693732,14.628113,NGC_2539,0.99
5727499147337055360,122.97889993819,-12.69048563592,0.7609,-2.32,-0.4,17.392391,18.027084,16.63736,NGC_2539,0.97
5727497257551876736,122.88550003921,-12.73751481924,0.9986,-2.284,-0.846,17.984285,18.865137,17.137499,NGC_2539,0.45
5727499417917108480,122.95365050231,-12.66488115003,0.8089,-2.444,-0.611,16.764828,17.27008,16.066748,NGC_2539,1.0
5727501002762925184,122.92579367703,-12.59262897738,0.7277,-2.413,-0.707,15.167649,15.498529,14.668816,NGC_2539,1.0
5727501204621048064,122.78137457259,-12.71004910435,0.6,-2.485,-0.097,18.855556,19.822378,17.906412,NGC_2539,0.27
5727501208921417344,122.77742472275,-12.70691526436,0.9604,-2.462,-0.771,18.774384,19.685316,17.846502,NGC_2539,0.42
5727501273339613952,122.76746451986,-12.68954367172,0.7315,-2.327,-0.586,13.189244,13.351965,12.914106,NGC_2539,1.0
5727501518159057280,122.7706774597,-12.6794366941,0.7352,-2.333,-0.609,16.593521,17.09821,15.935127,NGC_2539,1.0
5727501827396685952,122.81745697222,-12.65922356318,0.9253,-2.605,-1.012,17.954218,18.728996,17.10184,NGC_2539,0.27
5727501827397076736,122.81998437969,-12.65370201476,0.8666,-2.928,-0.833,18.426172,19.562504,17.496433,NGC_2539,0.18
5727501861756421632,122.81920311781,-12.64378464708,0.7866,-2.516,-0.393,17.114996,17.705296,16.401606,NGC_2539,0.99
5727501994895267072,122.85030213832,-12.62670048636,0.7948,-2.17,-0.82,18.250614,19.331238,17.28498,NGC_2539,0.64
5727502304132793984,122.74419713721,-12.66771420584,0.6712,-2.43,-0.548,18.05595,19.05926,17.062572,NGC_2539,0.76
5727502377152526464,122.72934622616,-12.6571815213,0.7106,-2.195,-0.46,18.9493,20.324005,17.875118,NGC_2539,0.44
5727502613370521600,122.73041522856,-12.63983776053,0.8154,-2.279,-0.498,15.850601,16.23767,15.289185,NGC_2539,1.0
5727500414347271936,122.89790227163,-12.63569859848,0.6441,-2.392,-0.792,19.230114,20.30743,18.2097,NGC_2539,0.21
5727520102477811072,122.56978633155,-12.4819071428,0.7911,-2.217,-0.169,17.34464,17.94707,16.605145,NGC_2539,0.82
5727497115814392192,122.85356319818,-12.74990822799,0.7322,-2.363,-0.468,13.349502,13.533805,13.043517,NGC_2539,1.0
5727496875296241024,122.85480566885,-12.76637042642,0.6463,-2.861,-0.159,17.60402,18.457474,16.74409,NGC_2539,0.16
5727495573924334848,122.73919953696,-12.69970793373,0.7483,-2.467,-0.578,15.479088,15.837357,14.956719,NGC_2539,1.0
5727854976789271808,121.70556027166,-11.69035205845,0.7694,-2.409,-0.766,16.974407,17.539566,16.273342,NGC_2539,0.3
5727495642643811712,122.72917343749,-12.68437515588,0.7438,-2.348,-0.58,17.185259,17.806366,16.476938,NGC_2539,1.0
